optimization_class,representation,n_kernels,ok,incorrect,build_error,timeout,unsupported
control_flow,c,5,5,0,0,0,0
control_flow,c_reference,5,5,0,0,0,0
control_flow,cpp,5,5,0,0,0,0
control_flow,fortran,5,5,0,0,0,0
control_flow,numba,5,5,0,0,0,0
control_flow,agent,5,5,0,0,0,0
dependence_distance,c,2,2,0,0,0,0
dependence_distance,c_reference,2,1,0,0,0,1
dependence_distance,cpp,2,2,0,0,0,0
dependence_distance,fortran,2,2,0,0,0,0
dependence_distance,numba,2,2,0,0,0,0
dependence_distance,agent,2,2,0,0,0,0
indirect_addressing,c,4,4,0,0,0,0
indirect_addressing,c_reference,4,2,0,0,0,2
indirect_addressing,cpp,4,4,0,0,0,0
indirect_addressing,fortran,4,4,0,0,0,0
indirect_addressing,numba,4,4,0,0,0,0
indirect_addressing,agent,4,4,0,0,0,0
interprocedural_dataflow,c,1,1,0,0,0,0
interprocedural_dataflow,c_reference,1,1,0,0,0,0
interprocedural_dataflow,cpp,1,1,0,0,0,0
interprocedural_dataflow,fortran,1,1,0,0,0,0
interprocedural_dataflow,numba,1,1,0,0,0,0
interprocedural_dataflow,agent,1,1,0,0,0,0
linear_dependence,c,2,1,1,0,0,0
linear_dependence,c_reference,2,1,1,0,0,0
linear_dependence,cpp,2,1,1,0,0,0
linear_dependence,fortran,2,1,1,0,0,0
linear_dependence,numba,2,2,0,0,0,0
linear_dependence,agent,2,1,1,0,0,0
loop_distribution,c,1,1,0,0,0,0
loop_distribution,c_reference,1,1,0,0,0,0
loop_distribution,cpp,1,1,0,0,0,0
loop_distribution,fortran,1,1,0,0,0,0
loop_distribution,numba,1,1,0,0,0,0
loop_distribution,agent,1,1,0,0,0,0
loop_fusion,c,3,3,0,0,0,0
loop_fusion,c_reference,3,3,0,0,0,0
loop_fusion,cpp,3,3,0,0,0,0
loop_fusion,fortran,3,3,0,0,0,0
loop_fusion,numba,3,3,0,0,0,0
loop_fusion,agent,3,3,0,0,0,0
loop_interchange,c,5,5,0,0,0,0
loop_interchange,c_reference,5,5,0,0,0,0
loop_interchange,cpp,5,5,0,0,0,0
loop_interchange,fortran,5,5,0,0,0,0
loop_interchange,numba,5,5,0,0,0,0
loop_interchange,agent,5,4,0,0,0,1
node_splitting,c,1,1,0,0,0,0
node_splitting,c_reference,1,1,0,0,0,0
node_splitting,cpp,1,1,0,0,0,0
node_splitting,fortran,1,1,0,0,0,0
node_splitting,numba,1,1,0,0,0,0
node_splitting,agent,1,1,0,0,0,0
packing,c,1,1,0,0,0,0
packing,c_reference,1,0,0,0,0,1
packing,cpp,1,1,0,0,0,0
packing,fortran,1,1,0,0,0,0
packing,numba,1,1,0,0,0,0
packing,agent,1,1,0,0,0,0
recurrence,c,1,1,0,0,0,0
recurrence,c_reference,1,1,0,0,0,0
recurrence,cpp,1,1,0,0,0,0
recurrence,fortran,1,1,0,0,0,0
recurrence,numba,1,1,0,0,0,0
recurrence,agent,1,1,0,0,0,0
reduction,c,10,10,0,0,0,0
reduction,c_reference,10,9,0,0,0,1
reduction,cpp,10,10,0,0,0,0
reduction,fortran,10,10,0,0,0,0
reduction,numba,10,10,0,0,0,0
reduction,agent,10,10,0,0,0,0
scalar_expansion,c,2,2,0,0,0,0
scalar_expansion,c_reference,2,2,0,0,0,0
scalar_expansion,cpp,2,2,0,0,0,0
scalar_expansion,fortran,2,2,0,0,0,0
scalar_expansion,numba,2,2,0,0,0,0
scalar_expansion,agent,2,2,0,0,0,0
wavefront,c,2,2,0,0,0,0
wavefront,c_reference,2,2,0,0,0,0
wavefront,cpp,2,2,0,0,0,0
wavefront,fortran,2,2,0,0,0,0
wavefront,numba,2,2,0,0,0,0
wavefront,agent,2,2,0,0,0,0
