optimization_class,representation,n_kernels_in_class,n_ok_cells,geomean_slowdown
control_flow,c,5,5,1.8923
control_flow,c_reference,5,5,1.9029
control_flow,cpp,5,5,1.9113
control_flow,fortran,5,5,1.9002
control_flow,numba,5,5,1.5638
control_flow,agent,5,5,1.0026
dependence_distance,c,2,2,1.5686
dependence_distance,c_reference,2,1,1.0189
dependence_distance,cpp,2,2,1.5683
dependence_distance,fortran,2,2,1.6387
dependence_distance,numba,2,2,1.6439
dependence_distance,agent,2,2,1.0097
indirect_addressing,c,4,4,1.0134
indirect_addressing,c_reference,4,2,1.0216
indirect_addressing,cpp,4,4,1.0165
indirect_addressing,fortran,4,4,1.0564
indirect_addressing,numba,4,4,1.1488
indirect_addressing,agent,4,4,1.315
interprocedural_dataflow,c,1,1,1.2424
interprocedural_dataflow,c_reference,1,1,1.0
interprocedural_dataflow,cpp,1,1,1.2259
interprocedural_dataflow,fortran,1,1,1.2356
interprocedural_dataflow,numba,1,1,1.2347
interprocedural_dataflow,agent,1,1,1.008
linear_dependence,c,2,1,1.2392
linear_dependence,c_reference,2,1,1.2428
linear_dependence,cpp,2,1,1.2465
linear_dependence,fortran,2,1,1.2398
linear_dependence,numba,2,2,1.1008
linear_dependence,agent,2,1,1.0
loop_distribution,c,1,1,7.2415
loop_distribution,c_reference,1,1,12.5362
loop_distribution,cpp,1,1,12.0565
loop_distribution,fortran,1,1,6.4945
loop_distribution,numba,1,1,10.5093
loop_distribution,agent,1,1,1.0
loop_fusion,c,3,3,2.6319
loop_fusion,c_reference,3,3,1.106
loop_fusion,cpp,3,3,2.5889
loop_fusion,fortran,3,3,2.5918
loop_fusion,numba,3,3,3.1124
loop_fusion,agent,3,3,1.0011
loop_interchange,c,5,5,5.2797
loop_interchange,c_reference,5,5,4.9139
loop_interchange,cpp,5,5,5.8906
loop_interchange,fortran,5,5,5.7446
loop_interchange,numba,5,5,5.0447
loop_interchange,agent,5,4,1.0
node_splitting,c,1,1,1.0
node_splitting,c_reference,1,1,1.0036
node_splitting,cpp,1,1,1.0008
node_splitting,fortran,1,1,1.0426
node_splitting,numba,1,1,1.029
node_splitting,agent,1,1,1.0541
packing,c,1,1,1.0501
packing,c_reference,1,0,
packing,cpp,1,1,1.046
packing,fortran,1,1,1.0437
packing,numba,1,1,1.0
packing,agent,1,1,1.3544
recurrence,c,1,1,1.0303
recurrence,c_reference,1,1,1.0307
recurrence,cpp,1,1,1.0956
recurrence,fortran,1,1,1.0
recurrence,numba,1,1,1.0185
recurrence,agent,1,1,1.0291
reduction,c,10,10,1.2202
reduction,c_reference,10,9,1.2527
reduction,cpp,10,10,1.077
reduction,fortran,10,10,1.313
reduction,numba,10,10,1.7446
reduction,agent,10,10,1.2009
scalar_expansion,c,2,2,1.083
scalar_expansion,c_reference,2,2,1.0831
scalar_expansion,cpp,2,2,1.109
scalar_expansion,fortran,2,2,1.1105
scalar_expansion,numba,2,2,1.1118
scalar_expansion,agent,2,2,1.0375
wavefront,c,2,2,1.004
wavefront,c_reference,2,2,1.0031
wavefront,cpp,2,2,1.0
wavefront,fortran,2,2,1.0021
wavefront,numba,2,2,1.9817
wavefront,agent,2,2,1.263
