kernel,representation,preset,n,bimodal_suspect,median_ns,mean_ns,sd_ns,rsd_pct,min_ns,max_ns,max_over_min
argmax_with_index,agent,M,30,no,71843152,71820305,220880,0.308,71451467,72164246,1.01
argmax_with_index,c,M,30,no,71829154,72618364,3157030,4.347,71513500,84280978,1.179
argmax_with_index,c_reference,M,30,no,71783277,71782287,564266,0.786,71271980,74383408,1.044
argmax_with_index,cpp,M,30,no,71723861,71617124,418240,0.584,71059577,72609933,1.022
argmax_with_index,fortran,M,30,no,71882674,71934221,256364,0.356,71662490,72955762,1.018
argmax_with_index,numba,M,30,no,178695300,178705387,235497,0.132,178244466,179244788,1.006
compact_threshold_pack,agent,M,30,no,145201525,145161501,299639,0.206,144492205,145802914,1.009
compact_threshold_pack,c,M,30,yes,112828368,119423054,36410268,30.488,112027194,312194675,2.787
compact_threshold_pack,cpp,M,30,yes,112859974,116412273,19623360,16.857,111592160,220272509,1.974
compact_threshold_pack,fortran,M,30,no,112746694,112767665,500334,0.444,111348242,113756293,1.022
compact_threshold_pack,numba,M,30,yes,107603119,114568209,38313076,33.441,106681597,317417965,2.975
ext_break_capture,agent,M,30,no,32505069,32542246,349754,1.075,32229814,34294903,1.064
ext_break_capture,c,M,30,no,69718823,69662695,204036,0.293,69265925,69995311,1.011
ext_break_capture,c_reference,M,30,no,69989111,70016517,988901,1.412,69031989,74403314,1.078
ext_break_capture,cpp,M,30,no,69619595,69655469,278372,0.4,69170440,70168298,1.014
ext_break_capture,fortran,M,30,no,69795821,69790008,144395,0.207,69524326,70102387,1.008
ext_break_capture,numba,M,30,no,74231372,74247848,93533,0.126,74115648,74488756,1.005
ext_war_unit,agent,M,30,no,62497050,62498717,378501,0.606,61986138,63978591,1.032
ext_war_unit,c,M,30,no,62200359,62247018,315979,0.508,61826786,63698507,1.03
ext_war_unit,c_reference,M,30,no,62284474,62313270,198027,0.318,61950884,62885032,1.015
ext_war_unit,cpp,M,30,no,62192184,62189749,206185,0.332,61831619,62592044,1.012
ext_war_unit,fortran,M,30,no,61111139,61101448,132405,0.217,60800349,61399755,1.01
ext_war_unit,numba,M,30,no,62434752,62454828,171732,0.275,62154234,62832581,1.011
fuse_diamond,agent,M,30,no,30100155,30076971,124889,0.415,29839347,30269510,1.014
fuse_diamond,c,M,30,no,169152470,169081361,865103,0.512,167623989,170399168,1.017
fuse_diamond,c_reference,M,30,no,30878455,31073696,962984,3.099,30665534,36076506,1.176
fuse_diamond,cpp,M,30,yes,167349952,171012734,20050277,11.724,166881310,277157136,1.661
fuse_diamond,fortran,M,30,no,166803511,166786749,1533232,0.919,165312885,173691926,1.051
fuse_diamond,numba,M,30,no,185893788,186063911,3870796,2.08,181583215,190275239,1.048
fuse_move_ifs,agent,M,30,no,51650634,51649136,102128,0.198,51475519,51843668,1.007
fuse_move_ifs,c,M,30,no,67796862,67772875,150289,0.222,67512999,68073845,1.008
fuse_move_ifs,c_reference,M,30,no,67897772,67910466,104486,0.154,67764032,68208019,1.007
